Age,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,LoanApproved
43,598,Employed,High School,18,15851,36,Single,0,Own,287,0.2362722691861127,3,0,0,Home,0,22,19,949,1810,76269,82555,5349.5,0.9743739113101464,3,0
26,594,Employed,Associate,4,10658,48,Married,4,Rent,370,0.1935671476623688,0,0,0,Education,0,27,17,3632,2464,37864,92220,12802.75,0.903286957429042,3,1
29,534,Employed,High School,8,10173,24,Married,0,Other,255,0.3966238277185799,0,0,0,Education,0,17,12,5430,1088,12001,5532,17656.416666666668,0.7440387676169274,4,1
61,659,Employed,Master,42,18397,48,Married,1,Rent,560,0.0895310461382912,6,2,0,Home,0,33,14,857,1394,233989,16881,5833.583333333333,0.7817159405643341,15,1
31,606,Employed,Bachelor,5,45282,36,Married,0,Mortgage,264,0.1584831001301112,4,0,0,Home,0,30,26,8005,658,76288,27032,6797.75,0.8048892481315633,6,0
59,622,Employed,Bachelor,35,21381,36,Married,1,Mortgage,344,0.2391063921607163,1,1,0,Debt Consolidation,0,26,17,3214,1812,10241,78716,7827.333333333333,0.7883068061106844,3,1
37,539,Employed,High School,13,16902,60,Single,2,Other,227,0.4342501153089202,2,0,0,Debt Consolidation,1,24,8,2024,447,17018,7126,6655.416666666667,0.8729503571809708,3,0
40,617,Employed,Bachelor,16,33726,60,Married,0,Own,414,0.0397991373052567,4,1,0,Home,0,28,5,1662,970,96767,9195,8284.916666666666,0.8487757150075764,6,1
52,650,Unemployed,Master,30,19848,36,Married,3,Mortgage,271,0.4579080288193896,6,0,0,Auto,0,27,12,2250,1740,70226,12678,3830.9166666666665,0.7222347496722579,8,0
55,541,Employed,Bachelor,32,28457,48,Single,1,Own,353,0.4982421847435199,5,1,0,Auto,0,25,16,3561,1132,44647,33473,13513.333333333334,0.7503879154632667,5,1
38,574,Self-Employed,Associate,13,53460,84,Married,3,Rent,644,0.1433402815907924,3,1,1,Home,0,17,21,7997,8124,80319,7368,10148.083333333334,0.7067744259456678,2,0
35,625,Employed,Master,12,22817,36,Divorced,2,Mortgage,195,0.1560801120276873,1,1,0,Home,0,29,27,3447,359,56829,76108,8796.0,0.9494616458418704,5,1
39,479,Employed,High School,15,18666,48,Single,3,Rent,425,0.2741179383517551,4,2,0,Home,0,19,8,4221,737,46059,56682,5183.333333333333,0.8092490413706599,5,0
44,535,Employed,High School,20,30225,48,Married,1,Rent,187,0.2355867576659757,2,1,0,Debt Consolidation,0,28,25,6691,147,19218,18326,4517.5,0.7854763858845566,9,0
50,550,Employed,Associate,26,20342,36,Single,0,Mortgage,514,0.5127096038124249,4,2,0,Auto,0,34,17,3674,839,35728,37218,4883.25,0.6876519786367916,6,0
40,606,Employed,High School,18,13362,24,Single,0,Other,401,0.6419178744794375,2,1,0,Debt Consolidation,0,24,13,5331,296,493458,28457,6843.0,0.8420097254370428,3,1
47,580,Employed,High School,25,16525,84,Married,4,Mortgage,582,0.0972640406022129,5,0,0,Home,0,24,1,31644,646,56341,113782,4279.583333333333,0.5156455486077581,8,0
59,673,Employed,Bachelor,35,22374,72,Divorced,0,Mortgage,279,0.542938612217359,4,1,0,Debt Consolidation,0,37,21,3862,2956,52756,34289,6533.416666666667,0.8442287097083945,2,1
44,619,Self-Employed,Associate,20,18431,24,Married,1,Rent,237,0.1790197506385027,2,2,0,Home,0,27,21,1964,1805,33557,22262,3980.75,0.883223550321084,2,0
43,591,Self-Employed,Master,18,33870,24,Widowed,2,Mortgage,487,0.1814434115035613,3,1,0,Home,0,16,19,6337,584,33246,50771,4541.0,0.7086516993690816,7,0
21,566,Employed,High School,0,19054,72,Single,0,Mortgage,478,0.4409637688619665,0,1,0,Home,1,26,16,4117,13428,102124,9613,8333.666666666666,0.779887618724439,4,0
18,585,Self-Employed,Doctorate,0,18667,60,Married,0,Rent,240,0.5338870413547052,4,0,0,Other,0,21,13,1561,577,65015,8892,5671.0,0.8065666387648179,3,0
44,622,Employed,Associate,22,27813,48,Widowed,3,Own,1008,0.0971068525658229,4,0,0,Home,0,17,18,13331,1320,65133,5173,3549.333333333333,0.6969333013299241,5,0
38,625,Employed,Bachelor,17,14875,60,Married,3,Other,670,0.1840676845197423,2,1,0,Auto,0,27,12,15809,414,361029,15770,4917.916666666667,0.8373323679055782,3,1
33,580,Employed,High School,9,23135,12,Married,1,Mortgage,364,0.1319131540648923,1,1,0,Home,0,28,17,2619,2210,18910,28891,1679.25,0.6333960642463992,8,0
42,603,Self-Employed,Bachelor,21,11991,36,Married,0,Other,413,0.29473579645589,1,0,0,Other,0,27,18,1469,217,41695,21155,8564.0,0.9651567844817996,5,1
39,604,Employed,Doctorate,17,14680,60,Married,0,Mortgage,502,0.0353093247065269,1,3,0,Other,0,18,13,813,519,57038,30412,6463.25,0.929080222669528,4,1
53,667,Employed,Bachelor,28,16504,48,Single,1,Mortgage,277,0.0954527770116529,3,0,0,Home,0,21,15,5387,2204,308903,40672,4755.416666666667,0.8598684230465142,7,1
41,548,Employed,High School,16,20224,12,Divorced,3,Other,245,0.0726245867394686,3,2,0,Home,0,26,10,187,3048,60697,85479,2846.25,0.9342141108921704,4,0
31,593,Employed,Associate,8,17370,96,Married,1,Rent,480,0.2018801289728014,2,0,0,Home,0,33,28,1495,484,12981,27103,1517.75,0.8472039814197253,5,0
51,570,Self-Employed,Associate,29,11484,84,Married,5,Other,715,0.5049154782968138,4,1,0,Debt Consolidation,0,20,11,896,1320,37603,142466,14046.583333333334,0.8224482241534561,2,1
37,593,Employed,High School,15,10328,72,Widowed,3,Mortgage,639,0.2700503393173967,1,1,0,Other,0,27,10,5393,2095,338822,18715,3403.4166666666665,0.7193957013440037,6,0
46,639,Employed,Master,22,29430,24,Divorced,1,Mortgage,417,0.3867286234045051,3,1,0,Education,0,24,9,1537,1091,120870,12713,14991.0,0.930725645048174,3,1
34,611,Employed,Associate,12,28274,24,Married,2,Mortgage,184,0.3112413699072913,2,2,0,Debt Consolidation,0,21,9,4735,1990,10680,95547,3531.4166666666665,0.7667471012984045,6,0
32,585,Employed,Associate,11,27746,48,Widowed,2,Other,355,0.3490626985102862,2,0,0,Home,0,22,1,6834,1118,37824,207814,4785.666666666667,0.9092653579455244,6,0
41,604,Employed,High School,16,7349,12,Divorced,2,Mortgage,634,0.0797756885330054,7,1,0,Debt Consolidation,0,24,19,2111,501,20827,30962,6934.75,0.6110784353963691,5,1
40,582,Employed,High School,17,21955,12,Married,5,Mortgage,452,0.2288566191304464,1,0,0,Debt Consolidation,0,31,15,4207,3277,67354,55907,4569.166666666667,0.6664422268022611,5,0
45,651,Employed,Master,24,17450,36,Married,1,Own,341,0.4400920091373403,5,1,0,Debt Consolidation,0,37,9,558,1467,58390,22019,3623.1666666666665,0.8381255036209869,6,1
36,562,Employed,High School,13,20424,60,Divorced,2,Rent,145,0.1235916525066689,3,1,0,Home,0,16,18,6154,974,57648,74493,1369.1666666666667,0.8276615395225333,5,0
18,520,Employed,Associate,0,15386,36,Single,1,Mortgage,561,0.5085385960892181,2,1,0,Home,0,31,20,2734,535,24264,40897,14363.166666666666,0.6610387507447575,10,1
34,630,Employed,Bachelor,14,9402,60,Married,4,Own,184,0.2289750855101903,2,1,0,Auto,0,19,2,13816,1230,15046,45975,2762.4166666666665,0.8542013813126452,6,0
49,612,Employed,Associate,27,43713,48,Single,5,Rent,192,0.3260468421014579,5,1,0,Debt Consolidation,0,21,26,2246,3373,47306,16771,23103.0,0.7755044696267509,5,1
36,566,Employed,Associate,14,10856,60,Married,0,Rent,312,0.1271969947135798,4,1,0,Education,0,21,11,14882,784,179220,15770,2931.833333333333,0.7965767590380144,4,0
37,482,Self-Employed,Bachelor,14,33744,60,Married,3,Mortgage,549,0.4044342410258025,4,0,1,Home,0,26,9,2840,2341,70648,11891,12152.25,0.7531061455780435,3,1
51,597,Employed,Doctorate,27,19203,48,Married,3,Own,748,0.4414476194232912,2,0,0,Debt Consolidation,0,16,7,6816,995,56295,10960,6807.166666666667,0.9429712251176424,4,1
31,560,Employed,Bachelor,10,24800,36,Married,2,Other,282,0.2553186981153843,1,1,0,Home,0,27,18,1318,384,26757,37357,5988.333333333333,0.8388509568597144,6,1
21,443,Self-Employed,Doctorate,1,26330,36,Married,2,Mortgage,424,0.2671839721358944,1,1,0,Debt Consolidation,0,20,17,2655,1628,83929,12825,3705.4166666666665,0.8489094474207807,3,0
38,614,Employed,Bachelor,13,21859,36,Single,1,Other,485,0.1788622959047114,3,1,0,Other,0,25,29,7019,1272,33732,25352,3650.0833333333335,0.941659292087733,2,0
34,567,Employed,High School,14,14732,60,Married,4,Mortgage,414,0.3290394145898379,8,2,0,Auto,1,19,18,7997,316,12878,47040,2921.9166666666665,0.9429032834341324,6,0
28,521,Employed,High School,5,24629,48,Divorced,3,Rent,339,0.2000373001578102,2,1,0,Debt Consolidation,0,15,4,1543,531,110106,94215,3595.9166666666665,0.9051694121254666,8,0
37,474,Employed,Master,15,29872,36,Married,2,Mortgage,762,0.5140696714682039,2,2,0,Education,0,20,20,1207,984,168129,39697,4450.416666666667,0.9483160546411532,7,0
45,562,Self-Employed,Associate,22,19054,60,Married,0,Mortgage,176,0.2584298882060051,3,2,0,Other,0,26,1,1416,549,173563,4103,2817.583333333333,0.8840065547424422,6,0
39,580,Employed,Associate,13,18470,24,Married,0,Other,128,0.3184379284648948,5,0,0,Auto,1,25,6,1245,896,10893,37029,1975.25,0.9283216473533488,2,0
43,582,Employed,Master,14,25319,60,Single,3,Mortgage,366,0.0714611019698515,7,0,0,Other,0,24,29,631,1083,33697,70741,3081.25,0.8067530047802,5,1
61,657,Employed,High School,42,33912,36,Divorced,1,Other,484,0.4641892842966252,3,1,0,Other,0,26,23,5217,750,83882,6037,6425.666666666667,0.7608918297904879,2,0
35,558,Employed,Bachelor,11,32840,36,Divorced,0,Own,259,0.40655024734066,2,1,0,Home,0,29,17,8862,608,21708,4063,2894.5,0.9749519597862948,1,0
43,515,Employed,Bachelor,21,54116,60,Single,3,Mortgage,122,0.439417694869268,3,1,0,Home,0,17,29,747,790,28953,37971,2174.833333333333,0.8937220473510037,4,0
33,623,Employed,Bachelor,8,10454,72,Single,1,Mortgage,392,0.1163244497332922,2,0,0,Auto,0,27,27,543,405,39584,37693,4068.1666666666665,0.9844708481836756,7,0
29,602,Employed,Associate,5,39138,60,Married,0,Mortgage,245,0.5777299422307721,7,0,0,Home,0,22,10,3414,2486,14942,11688,1250.0,0.8280275615474267,6,0
32,557,Employed,Bachelor,7,22459,72,Single,1,Mortgage,405,0.4767343126419631,1,1,1,Home,0,22,27,4863,3496,160586,135397,3486.25,0.7987333694461106,10,0
34,614,Employed,High School,11,25332,60,Married,3,Other,433,0.4519408359639484,1,0,0,Debt Consolidation,0,20,9,2448,3585,83850,42770,3755.75,0.8039577878387929,5,0
44,585,Employed,Bachelor,23,23614,24,Married,4,Mortgage,833,0.293930165511618,6,1,0,Debt Consolidation,0,24,10,1424,202,87508,142560,6076.0,0.6720639405013588,3,0
68,652,Employed,Bachelor,44,5152,12,Married,4,Rent,450,0.0231411930899112,3,0,0,Debt Consolidation,0,17,13,8710,1818,39286,115612,6374.333333333333,0.8866929267947381,3,1
31,517,Employed,Master,8,53988,24,Single,2,Own,507,0.2089992392100405,2,0,0,Home,0,21,18,1208,2885,236250,8392,1939.0833333333333,0.7180716052861432,5,0
35,544,Employed,High School,13,9128,60,Single,0,Mortgage,227,0.4906832608690129,7,1,0,Debt Consolidation,0,22,9,1959,161,19953,7480,3215.333333333333,0.8206255989171533,7,0
39,623,Employed,Master,17,17759,96,Married,1,Rent,705,0.0773317634126209,5,0,0,Debt Consolidation,0,23,17,11731,337,23142,24854,7004.666666666667,0.9876778285454372,7,1
44,636,Employed,Bachelor,19,11095,24,Married,1,Other,486,0.473059940658793,3,0,0,Home,1,18,21,1377,3350,22124,11325,6612.166666666667,0.6630311994526391,0,1
43,577,Employed,Bachelor,17,26004,48,Single,1,Rent,471,0.4967848008033786,3,1,1,Education,1,28,7,896,565,37024,7057,2555.75,0.6736442464222239,2,0
55,570,Employed,Associate,35,30986,36,Married,0,Mortgage,496,0.3186758866925925,4,3,0,Home,0,28,26,2736,2228,36779,13620,6801.833333333333,0.800293265299867,0,1
18,462,Employed,Associate,0,16791,60,Divorced,1,Rent,237,0.6516055739979109,2,1,1,Home,0,37,9,5399,944,581539,13834,4719.416666666667,0.9171750693918452,4,0
18,622,Employed,Bachelor,0,6830,24,Divorced,1,Own,263,0.5430354397134158,2,3,0,Auto,0,22,13,2113,1268,9522,10098,2120.5,0.7234214730001164,2,0
34,475,Employed,Doctorate,14,42087,60,Single,2,Rent,457,0.1778928538526443,9,1,0,Debt Consolidation,1,32,26,3340,1896,38297,26640,1253.5833333333333,0.907503235117087,0,0
53,636,Employed,Associate,30,24232,96,Single,1,Other,331,0.2702786141954811,4,3,0,Home,0,18,25,6850,1653,21190,42132,11261.916666666666,0.5494017970827151,6,1
21,569,Employed,Master,0,10715,36,Divorced,3,Rent,257,0.6366357147523474,1,2,0,Debt Consolidation,0,19,1,1420,2044,55909,99842,4290.25,0.7653751158101267,5,0
18,509,Employed,Bachelor,0,26532,48,Married,0,Mortgage,341,0.1034219853055153,3,1,0,Debt Consolidation,1,22,11,4117,311,40602,8612,2469.583333333333,0.7124208175583774,5,0
46,558,Employed,Master,25,14043,12,Married,0,Rent,1020,0.2820597243889337,2,0,0,Auto,1,28,4,53574,2919,56493,7478,3438.9166666666665,0.8203009637286734,5,0
42,571,Employed,High School,22,63241,60,Married,0,Rent,317,0.152023349546558,1,2,0,Home,0,27,5,11557,16195,51184,22059,4919.166666666667,0.8987439435925334,2,0
26,572,Unemployed,Bachelor,5,30784,36,Married,0,Mortgage,1127,0.194677515883487,4,1,0,Auto,0,25,2,3308,216,43691,34292,6495.75,0.9557807128966884,4,0
28,593,Employed,Master,8,13316,72,Married,3,Own,484,0.1699504791250045,1,1,0,Education,0,28,26,3024,868,135713,12997,1440.1666666666667,0.9107204655447824,4,0
28,608,Employed,Master,6,16887,60,Divorced,2,Mortgage,547,0.0774607287721435,3,3,0,Other,0,22,1,8728,786,127402,192320,3440.4166666666665,0.8685305540591034,5,0
41,601,Employed,Bachelor,20,17841,60,Married,0,Rent,366,0.0792381852568231,2,0,0,Home,0,22,24,16883,1813,18696,29307,12040.75,0.6544917524115097,8,1
32,601,Employed,Associate,9,28308,24,Single,0,Own,311,0.1475728694815888,0,1,0,Education,0,22,11,17531,323,103354,17309,7270.166666666667,0.6610839076855762,5,1
45,528,Employed,Bachelor,21,12799,72,Divorced,0,Mortgage,328,0.1329918712791929,2,0,0,Debt Consolidation,0,33,29,1171,1347,87454,29780,6819.416666666667,0.8286853820600868,5,1
18,560,Unemployed,High School,0,55328,24,Married,1,Mortgage,484,0.2649358510079569,1,0,0,Home,0,29,15,532,247,62307,10588,2980.833333333333,0.7912066626144209,4,0
29,536,Employed,Associate,7,20875,24,Married,3,Mortgage,546,0.2552939555148997,3,0,0,Debt Consolidation,0,16,2,860,188,142281,161825,4107.833333333333,0.9693237439213188,3,0
26,601,Employed,Associate,4,7967,84,Married,1,Own,352,0.6276969313909555,3,1,0,Home,0,20,4,9050,560,50949,198633,2497.25,0.8065015049433274,2,0
36,600,Employed,High School,15,34217,48,Widowed,1,Rent,1077,0.3850277739329727,4,0,0,Other,0,24,6,907,1225,222088,9181,2182.75,0.9447242966311776,5,0
33,583,Employed,Bachelor,12,19401,108,Single,0,Mortgage,394,0.1240632177871571,2,1,0,Education,0,16,6,2460,766,62518,7110,6226.166666666667,0.9097259213158976,3,0
49,553,Employed,Bachelor,25,25057,36,Married,1,Other,559,0.6695828962938919,0,0,0,Debt Consolidation,0,16,23,7487,1260,97310,23869,3234.75,0.8278201110318513,8,0
18,554,Employed,High School,0,34737,60,Married,2,Mortgage,428,0.1906841401510016,3,0,0,Auto,0,22,22,3267,2869,39234,22530,3566.25,0.79642352683211,10,0
40,593,Self-Employed,Bachelor,18,20893,48,Single,2,Rent,390,0.7219558469323387,2,0,0,Home,0,25,10,2181,1972,35477,17868,4045.6666666666665,0.9092329498047494,3,0
46,483,Employed,High School,24,48603,12,Single,2,Mortgage,244,0.1081898392881882,4,1,0,Education,0,22,19,4280,651,111745,30219,14831.166666666666,0.9022282715028656,3,1
62,602,Employed,High School,38,24452,84,Widowed,2,Own,335,0.1524387034583691,2,1,0,Home,0,23,29,14213,2362,106543,10816,4413.5,0.810717122291309,5,0
34,504,Self-Employed,Bachelor,14,24626,36,Single,4,Mortgage,782,0.3597389544179504,1,0,0,Auto,0,27,5,2683,184,195992,24746,8580.0,0.8115569100601272,7,1
43,625,Employed,Associate,20,49258,72,Married,1,Mortgage,169,0.2907707020886887,3,1,0,Other,0,26,3,9000,2125,11125,10701,6782.083333333333,0.5876162087781805,8,0
18,603,Employed,Bachelor,0,51104,24,Divorced,0,Mortgage,777,0.127706610717403,1,2,0,Auto,0,30,12,9014,2523,650783,82574,3446.1666666666665,0.8352061272868757,3,0
18,557,Employed,High School,0,13522,60,Single,2,Other,1071,0.388248516475395,4,0,0,Auto,0,21,4,3773,169,4875,111034,1284.5,0.919386825572106,6,0
50,646,Employed,Bachelor,30,22828,60,Married,1,Own,247,0.5342072015871824,8,1,0,Education,0,19,26,3522,592,17246,83048,4697.166666666667,0.9343328794762829,7,1
39,553,Employed,High School,17,16240,36,Widowed,1,Mortgage,439,0.1495418170453845,3,3,0,Debt Consolidation,0,28,3,16631,212,52195,24221,5767.916666666667,0.927820210792364,3,0
54,603,Unemployed,High School,30,39882,36,Single,1,Mortgage,257,0.3662466012436874,4,2,0,Home,0,29,25,33679,239,84846,9796,1677.3333333333333,0.6320151678302113,5,0
23,599,Employed,Associate,0,15086,96,Single,4,Own,497,0.6449580019760427,4,0,0,Debt Consolidation,0,25,13,12973,2079,66586,18617,5453.333333333333,0.8786184750929348,2,0
46,525,Employed,Bachelor,22,13247,36,Single,1,Mortgage,650,0.4577555218492787,3,1,0,Home,0,18,17,834,6664,61579,34218,10730.416666666666,0.9180124473625534,4,1
62,604,Employed,High School,42,30138,24,Single,0,Rent,868,0.2461330608139149,7,1,0,Home,0,22,13,2330,5233,46621,12843,4397.083333333333,0.7696771342235809,2,0
45,634,Employed,High School,26,15800,24,Married,2,Own,562,0.3128433561881789,3,2,0,Debt Consolidation,1,20,20,3888,1956,87039,93194,7877.166666666667,0.7235543734593339,6,1
43,583,Employed,High School,20,16618,48,Divorced,2,Rent,311,0.2704416905534567,4,0,0,Auto,0,23,17,12228,6178,108632,10976,4326.0,0.5189071802508649,8,0
40,613,Employed,Associate,20,34313,120,Single,2,Rent,179,0.4225532869374138,3,0,0,Debt Consolidation,0,21,7,3235,1423,77465,19069,5319.833333333333,0.7138021130350907,11,0
21,568,Unemployed,High School,0,21724,48,Single,1,Mortgage,312,0.257104820627904,5,3,0,Home,0,18,1,1638,451,55912,54991,6986.083333333333,0.7560776727513994,6,0
56,619,Employed,High School,32,19122,60,Married,0,Mortgage,288,0.2043846380265206,4,1,0,Home,0,27,18,1983,354,51199,244787,1909.5833333333333,0.8697167949170015,2,0
32,571,Employed,Doctorate,9,38790,36,Married,4,Mortgage,313,0.243962243494411,4,1,0,Home,0,27,17,1163,5461,51263,56591,2819.75,0.661673686829428,7,0
46,554,Employed,High School,25,5008,24,Married,0,Mortgage,516,0.4215305786087414,2,0,0,Home,1,25,18,17305,1192,124512,17987,8303.333333333334,0.8321824855116731,4,1
21,518,Employed,Associate,0,24175,48,Divorced,4,Mortgage,209,0.2425083877370099,2,0,0,Education,0,25,4,2141,191,12897,6781,8207.333333333334,0.850509270299535,3,0
25,619,Employed,Doctorate,1,22297,48,Divorced,0,Mortgage,405,0.3847949873299836,5,2,0,Auto,0,31,4,820,1168,29543,40140,1521.5833333333333,0.8603408596189027,5,0
57,559,Employed,High School,34,49027,36,Single,1,Mortgage,740,0.1239181926344687,3,2,0,Education,0,19,8,7149,666,27380,8997,8582.666666666666,0.8113331817609413,6,0
35,617,Employed,Bachelor,15,58896,96,Single,1,Rent,254,0.1531248661533282,2,0,0,Auto,0,30,20,4053,828,125969,23469,1250.0,0.5087208836689704,5,0
57,581,Employed,Associate,38,26234,60,Married,0,Mortgage,418,0.2800086557016126,4,2,0,Home,0,24,10,8176,1612,347872,45465,5986.083333333333,0.818974853354093,5,1
39,515,Self-Employed,Master,13,15803,60,Single,0,Own,140,0.5308775683780859,3,4,0,Auto,0,22,1,1217,3786,12735,206044,5075.25,0.8106732200585959,4,1
18,602,Employed,Master,0,24743,60,Single,1,Rent,403,0.2481277129293661,1,2,0,Debt Consolidation,0,24,3,1049,420,63171,49083,2151.4166666666665,0.7065034687074296,6,0
50,549,Employed,Associate,26,38892,24,Single,1,Rent,192,0.3110886103737983,4,1,0,Debt Consolidation,0,23,15,1158,119,50185,15289,2711.25,0.9405859454156396,7,0
32,588,Employed,High School,6,17577,36,Divorced,1,Other,592,0.1617781893172532,2,1,0,Home,1,26,25,3949,434,43804,17565,2238.75,0.8375514085918879,1,0
48,575,Employed,Associate,25,7841,60,Married,0,Mortgage,226,0.3424273980621027,5,0,0,Debt Consolidation,0,24,1,7774,86,313059,49508,2923.0,0.9717318174513694,3,1
40,626,Employed,Doctorate,19,32217,36,Divorced,4,Mortgage,444,0.2753964429748739,5,1,0,Home,0,24,8,3052,2733,39038,29819,16689.416666666668,0.5906241219234422,2,1
21,578,Employed,High School,1,7534,48,Married,3,Own,133,0.4066476069402282,3,0,0,Home,0,32,24,7055,118,36798,14240,5063.25,0.8766394193188193,3,0
41,578,Employed,Doctorate,21,63013,60,Married,0,Mortgage,199,0.3421849824886097,5,3,0,Education,1,28,14,2419,3899,36453,8506,11554.583333333334,0.8748542880752663,5,0
66,612,Employed,Master,43,24922,24,Married,1,Rent,258,0.2502414176420134,2,2,0,Other,0,33,3,7002,2538,55075,37805,4126.916666666667,0.6510240990396592,7,0
45,510,Employed,High School,20,5176,24,Married,3,Rent,675,0.268653968719715,4,1,0,Home,0,27,3,604,3183,16612,311494,4012.5,0.9399484228881486,3,0
39,577,Employed,Bachelor,17,19637,60,Single,3,Rent,386,0.0347398540026031,2,2,0,Debt Consolidation,0,27,11,448,2208,52433,28080,2149.9166666666665,0.8818704819504549,3,0
52,639,Employed,High School,31,12537,72,Single,0,Mortgage,186,0.090381565606449,6,1,0,Home,0,22,4,10460,2583,43684,23619,4000.1666666666665,0.6987639819287139,7,0
42,589,Employed,Bachelor,18,10715,60,Widowed,1,Own,227,0.5011406544451082,3,0,1,Debt Consolidation,0,24,23,2884,1171,146997,14307,3038.9166666666665,0.8743328284409095,5,0
42,603,Employed,Associate,21,9819,24,Single,1,Mortgage,769,0.208443359562316,0,1,0,Debt Consolidation,0,27,29,8847,1649,56327,13130,5149.5,0.7590892366999747,8,1
26,579,Employed,Associate,3,13458,48,Divorced,2,Own,160,0.1925041822044503,4,0,0,Other,0,28,11,5501,9315,88768,6519,2216.0,0.6761118552850635,4,0
42,548,Employed,Associate,19,60597,48,Married,0,Mortgage,546,0.282310742993593,4,2,0,Debt Consolidation,1,38,3,547,1939,11592,67684,2499.1666666666665,0.5386238410294968,8,0
52,535,Self-Employed,Bachelor,30,13354,24,Divorced,4,Rent,324,0.1693406027470337,4,2,0,Other,0,15,25,42635,5578,388440,17648,6220.083333333333,0.7605137538537856,4,1
29,593,Employed,Bachelor,7,8745,60,Single,3,Own,479,0.2290058553963993,3,0,0,Debt Consolidation,0,19,12,391,2700,14467,16642,3932.1666666666665,0.8289527198538565,5,1
57,618,Employed,Bachelor,31,10748,36,Single,0,Mortgage,235,0.2978453602062084,4,1,0,Auto,1,19,25,1543,1761,15546,205715,3313.1666666666665,0.6194388765013044,2,1
38,611,Unemployed,Doctorate,14,42209,48,Married,1,Rent,283,0.1326698142122524,2,1,0,Other,0,20,2,1745,2672,228228,21035,2481.833333333333,0.8574749686590085,5,0
29,554,Employed,Bachelor,4,17522,48,Divorced,0,Rent,132,0.3301633854255117,3,0,0,Other,0,18,8,4486,796,10866,5062,2608.333333333333,0.7471809388248742,7,0
51,607,Employed,Bachelor,30,23276,48,Single,1,Rent,955,0.514266871537165,2,2,0,Home,0,24,22,2488,3767,28512,88057,7838.416666666667,0.6824866120987282,4,1
36,531,Employed,Associate,11,9287,36,Divorced,0,Own,312,0.2851675056631445,3,0,0,Auto,0,26,2,941,1091,27203,2378,4451.25,0.9513862053372804,3,1
49,568,Employed,High School,25,36297,60,Single,1,Other,589,0.372681595032368,2,1,0,Debt Consolidation,0,19,28,1308,767,51406,94448,2430.1666666666665,0.8577638895201323,4,0
36,560,Employed,High School,16,9856,36,Divorced,3,Other,219,0.2476667862462648,4,2,0,Education,0,28,28,2142,359,35456,18498,2260.1666666666665,0.7779909979172902,5,0
39,620,Employed,Associate,15,25519,96,Divorced,0,Mortgage,444,0.2901672144257804,5,1,0,Debt Consolidation,0,28,26,2168,1216,165666,56647,1919.1666666666667,0.959156779473519,0,0
45,623,Employed,Bachelor,24,12894,48,Single,2,Mortgage,588,0.4335977994134393,3,1,1,Debt Consolidation,0,20,9,6716,1347,41470,23266,3618.5833333333335,0.7241564942459556,6,0
43,579,Employed,Bachelor,24,6631,24,Married,3,Rent,285,0.1658580357328268,2,0,0,Other,0,25,7,4487,419,24099,7277,4034.25,0.7903706279113578,6,1
18,381,Self-Employed,Doctorate,0,19868,48,Married,4,Mortgage,378,0.4232932478490738,2,3,0,Other,0,32,18,1809,1091,263752,3448,2566.1666666666665,0.8175936103754219,4,0
26,476,Employed,Associate,2,8633,60,Single,0,Mortgage,436,0.2607177319968772,5,1,0,Auto,1,26,7,1839,3196,125699,77944,13434.833333333334,0.8682292953343288,5,1
51,617,Self-Employed,Bachelor,28,33001,36,Married,1,Rent,339,0.3040197650766164,5,0,0,Home,0,11,17,5537,575,91985,24842,6923.166666666667,0.7202054823857716,0,0
38,500,Employed,Master,16,16360,12,Single,0,Own,320,0.612491841481229,3,0,0,Education,0,25,18,893,1475,167834,19463,4151.75,0.5464475245112864,7,0
33,450,Employed,Associate,11,10964,24,Single,1,Other,268,0.2761597127568249,5,2,0,Home,0,23,21,27805,1134,28939,15173,3552.9166666666665,0.7954453999153919,2,0
23,436,Unemployed,Associate,0,38893,36,Single,0,Rent,398,0.2201058428376428,3,0,1,Home,0,32,16,1326,813,352037,31577,1470.8333333333333,0.7397105490125909,9,0
27,570,Employed,Master,7,22614,60,Single,1,Mortgage,403,0.1384032149892993,3,1,0,Auto,0,21,25,4496,1453,237059,55799,2214.833333333333,0.6048508066341381,3,0
18,433,Employed,Bachelor,0,25297,60,Married,2,Mortgage,391,0.7088240094997783,4,1,0,Debt Consolidation,0,23,10,4676,5570,39114,5955,9082.75,0.7304583566117572,4,1
38,594,Employed,Bachelor,15,18026,72,Married,1,Mortgage,236,0.105835590767187,2,1,0,Auto,0,19,4,3388,2223,202989,26910,11991.25,0.9752643333880834,5,1
32,627,Employed,Master,11,16312,60,Widowed,4,Mortgage,476,0.2543313226518724,2,3,0,Debt Consolidation,0,30,7,15312,1555,68449,28713,1250.0,0.5157437324789371,7,0
28,572,Employed,Bachelor,6,22003,12,Single,1,Rent,240,0.5370517104065394,1,0,0,Home,0,20,15,10462,4462,118541,7137,3806.75,0.6740676050523472,8,0
